TRAIN Number	Fort Worth T&P Station	Fort Worth Central Station	Richland Hills	Bell	CentrePort/ DFW Airport	West Irving	Downtown Irving/ Heritage Crossing	Medical/ Market Center	Victory Station @ AA Center	EBJ Union Station
2500	--:--	--:--	--:--	--:--	--:--	04:07	04:13	04:22	04:27	04:34
2502	--:--	--:--	--:--	--:--	--:--	04:37	04:43	04:52	04:57	05:04
2504	--:--	--:--	--:--	--:--	--:--	05:07	05:13	05:22	05:27	05:34
2906	04:58	05:02	05:14	05:24	05:31	05:37	05:43	05:52	05:57	06:04
2908	05:28	05:32	05:44	05:54	06:01	06:07	06:13	06:22	06:27	06:34
2910	05:58	06:02	06:14	06:24	06:31	06:37	06:43	06:52	06:57	07:04
2912	06:28	06:32	06:44	06:54	07:01	07:07	07:13	07:22	07:27	07:34
2914	06:58	07:02	07:14	07:24	07:31	07:37	07:43	07:52	07:57	08:04
2916	07:28	07:32	07:44	07:54	08:01	08:07	08:13	08:22	08:27	08:34
2918	07:58	08:02	08:14	08:24	08:31	08:37	08:43	08:52	08:57	09:04
2920	08:28	08:32	08:44	08:54	09:01	09:07	09:13	09:22	09:27	09:34
2122	08:58	09:02	09:14	09:24	09:33	--:--	--:--	--:--	--:--	--:--
2924	09:28	09:32	09:44	09:54	10:01	10:07	10:13	10:22	10:27	10:34
2126	09:58	10:02	10:14	10:24	10:33	--:--	--:--	--:--	--:--	--:--
2928	10:28	10:32	10:44	10:54	11:01	11:07	11:13	11:22	11:27	11:34
2930	11:28	11:32	11:44	11:54	12:01	12:07	12:13	12:22	12:27	12:34
2932	12:28	12:32	12:44	12:54	13:01	13:07	13:13	13:22	13:27	13:34
2934	13:28	13:32	13:44	13:54	14:01	14:07	14:13	14:22	14:27	14:34
2536	--:--	--:--	--:--	--:--	--:--	14:37	14:43	14:52	14:57	15:04
2938	14:28	14:32	14:44	14:54	15:01	15:07	15:13	15:22	15:27	15:34
2540	--:--	--:--	--:--	--:--	--:--	15:37	15:43	15:52	15:57	16:04
2942	15:28	15:32	15:44	15:54	16:01	16:07	16:13	16:22	16:27	16:34
2544	--:--	--:--	--:--	--:--	--:--	16:37	16:43	16:52	16:57	17:04
2946	16:28	16:32	16:44	16:54	17:01	17:07	17:13	17:22	17:27	17:34
2948	16:58	17:02	17:14	17:24	17:31	17:37	17:43	17:52	17:57	18:04
2950	17:28	17:32	17:44	17:54	18:01	18:07	18:13	18:22	18:27	18:34
2952	17:58	18:02	18:14	18:24	18:31	18:37	18:43	18:52	18:57	19:04
2954	18:28	18:32	18:44	18:54	19:01	19:07	19:13	19:22	19:27	19:34
2156	18:58	19:02	19:14	19:24	19:33	--:--	--:--	--:--	--:--	--:--
2958	19:28	19:32	19:44	19:54	20:01	20:07	20:13	20:22	20:27	20:34
2160	19:58	20:02	20:14	20:24	20:33	--:--	--:--	--:--	--:--	--:--
2962	20:28	20:32	20:44	20:54	21:01	21:07	21:13	21:22	21:27	21:34
2964	21:28	21:32	21:44	21:54	22:01	22:07	22:13	22:22	22:27	22:34
2966	22:28	22:32	22:44	22:54	23:01	23:07	23:13	23:22	23:27	23:34
2168	23:58	00:02#	00:14#	00:24#	00:33#	--:--	--:--	--:--	--:--	--:--
2170	00:28#	00:32#	00:44#	00:54#	01:03#	--:--	--:--	--:--	--:--	--:--
2172	01:28#	01:32#	01:44#	01:54#	02:03#	--:--	--:--	--:--	--:--	--:--