TRAIN Number	DFW Airport Terminal B	DFW Airport North	Grapevine	Smithfield	Iron Horse	Mercantile Center	North Side	Fort Worth Central	Fort Worth T&P
111	--:--	--:--	--:--	--:--	--:--	--:--	03:20	03:30	03:35
113	--:--	--:--	--:--	--:--	--:--	--:--	04:20	04:30	04:35
117	--:--	--:--	--:--	--:--	--:--	--:--	04:50	05:00	05:05
215	04:40	04:46	04:50	05:03	05:08	05:14	05:20	05:30	05:35
219	05:10	05:16	05:20	05:33	05:38	05:44	05:50	06:00	06:05
221	05:40	05:46	05:50	06:03	06:08	06:14	06:20	06:30	06:35
223	06:10	06:16	06:20	06:33	06:38	06:44	06:50	07:00	07:05
225	06:40	06:46	06:50	07:03	07:08	07:14	07:20	07:30	07:35
227	07:10	07:16	07:20	07:33	07:38	07:44	07:50	08:00	08:05
229	07:40	07:46	07:50	08:03	08:08	08:14	08:20	08:30	08:35
231	08:10	08:16	08:20	08:33	08:38	08:44	08:50	09:00	09:05
233	08:40	08:46	08:50	09:03	09:08	09:14	09:20	09:30	09:35
235	09:10	09:16	09:20	09:33	09:38	09:44	09:50	10:00	10:05
237	09:40	09:46	09:50	10:03	10:08	10:14	10:20	10:30	10:35
239	10:40	10:46	10:50	11:03	11:08	11:14	11:20	11:30	11:35
241	11:40	11:46	11:50	12:03	12:08	12:14	12:20	12:30	12:35
243	12:40	12:46	12:50	13:03	13:08	13:14	13:20	13:30	13:35
245	13:40	13:46	13:50	14:03	14:08	14:14	14:20	14:30	14:35
247	14:40	14:46	14:50	15:03	15:08	15:14	15:20	15:30	15:35
249	15:10	15:16	15:20	15:33	15:38	15:44	15:50	16:00	16:05
251	15:40	15:46	15:50	16:03	16:08	16:14	16:20	16:30	16:35
253	16:10	16:16	16:20	16:33	16:38	16:44	16:50	17:00	17:05
255	16:40	16:46	16:50	17:03	17:08	17:14	17:20	17:30	17:35
257	17:10	17:16	17:20	17:33	17:38	17:44	17:50	18:00	18:05
259	17:40	17:46	17:50	18:03	18:08	18:14	18:20	18:30	18:35
261	18:10	18:16	18:20	18:33	18:38	18:44	18:50	19:00	19:05
263	18:40	18:46	18:50	19:03	19:08	19:14	19:20	19:30	19:35
265	19:10	19:16	19:20	19:33	19:38	19:44	19:50	20:00	20:05
267	19:40	19:46	19:50	20:03	20:08	20:14	20:20	20:30	20:35
269	20:40	20:46	20:50	21:03	21:08	21:14	21:20	21:30	21:35
271	21:40	21:46	21:50	22:03	22:08	22:14	22:20	22:30	22:35
273	22:40	22:46	22:50	23:03	23:08	23:14	23:20	23:30	23:35
275	23:40	23:46	23:50	00:03#	00:08#	00:14#	00:20#	00:30#	00:35#
277	00:40#	00:46#	00:50#	01:03#	01:08#	01:14#	01:20#	01:30#	01:35#
179	01:40#	01:46#	01:50#	02:03#	02:08#	02:14#	--:--	--:--	--:--
181	02:10#	02:16#	02:20#	02:33#	02:38#	02:44#	--:--	--:--	--:--