TRAIN Number	EBJ Union Station	Victory Station @ AA Center	Medical/ Market Center	Downtown Irving/ Heritage Crossing	West Irving	CentrePort/ DFW Airport	Bell	Richland Hills	Fort Worth Central Station	Fort Worth T&P Station
2101	--:--	--:--	--:--	--:--	--:--	04:13	04:20	04:30	04:43	04:48
2103	--:--	--:--	--:--	--:--	--:--	04:43	04:50	05:00	05:13	05:18
2105	--:--	--:--	--:--	--:--	--:--	05:13	05:20	05:30	05:43	05:48
2907	05:12	05:17	05:22	05:31	05:37	05:43	05:50	06:00	06:13	06:18
2909	05:42	05:47	05:52	06:01	06:07	06:13	06:20	06:30	06:43	06:48
2911	06:12	06:17	06:22	06:31	06:37	06:43	06:50	07:00	07:13	07:18
2913	06:42	06:47	06:52	07:01	07:07	07:13	07:20	07:30	07:43	07:48
2915	07:12	07:17	07:22	07:31	07:37	07:43	07:50	08:00	08:13	08:18
2917	07:42	07:47	07:52	08:01	08:07	08:13	08:20	08:30	08:43	08:48
2919	08:12	08:17	08:22	08:31	08:37	08:43	08:50	09:00	09:13	09:18
2921	08:42	08:47	08:52	09:01	09:07	09:13	09:20	09:30	09:43	09:48
2923	09:12	09:17	09:22	09:31	09:37	09:43	09:50	10:00	10:13	10:18
2525	09:42	09:47	09:52	10:01	10:08	--:--	--:--	--:--	--:--	--:--
2927	10:12	10:17	10:22	10:31	10:37	10:43	10:50	11:00	11:13	11:18
2929	11:12	11:17	11:22	11:31	11:37	11:43	11:50	12:00	12:13	12:18
2931	12:12	12:17	12:22	12:31	12:37	12:43	12:50	13:00	13:13	13:18
2933	13:12	13:17	13:22	13:31	13:37	13:43	13:50	14:00	14:13	14:18
2935	14:12	14:17	14:22	14:31	14:37	14:43	14:50	15:00	15:13	15:18
2937	15:12	15:17	15:22	15:31	15:37	15:43	15:50	16:00	16:13	16:18
2939	15:42	15:47	15:52	16:01	16:07	16:13	16:20	16:30	16:43	16:48
2941	16:12	16:17	16:22	16:31	16:37	16:43	16:50	17:00	17:13	17:18
2943	16:42	16:47	16:52	17:01	17:07	17:13	17:20	17:30	17:43	17:48
2945	17:12	17:17	17:22	17:31	17:37	17:43	17:50	18:00	18:13	18:18
2947	17:42	17:47	17:52	18:01	18:07	18:13	18:20	18:30	18:43	18:48
2949	18:12	18:17	18:22	18:31	18:37	18:43	18:50	19:00	19:13	19:18
2951	18:42	18:47	18:52	19:01	19:07	19:13	19:20	19:30	19:43	19:48
2953	19:12	19:17	19:22	19:31	19:37	19:43	19:50	20:00	20:13	20:18
2555	19:42	19:47	19:52	20:01	20:08	--:--	--:--	--:--	--:--	--:--
2957	20:12	20:17	20:22	20:31	20:37	20:43	20:50	21:00	21:13	21:18
2959	21:12	21:17	21:22	21:31	21:37	21:43	21:50	22:00	22:13	22:18
2961	22:39	22:47	22:52	23:01	23:07	23:13	23:20	23:30	23:43	23:48
2763	23:12	23:17	23:22	23:31	23:37	23:44	--:--	--:--	--:--	--:--
2963	23:12	23:17	23:22	23:31	23:37	23:43	23:50	00:00	00:13	00:18
2565	23:50	23:55	00:00#	00:09#	00:16#	--:--	--:--	--:--	--:--	--:--
2965	00:12#	00:17#	00:22#	00:31#	00:37#	00:43#	00:50#	01:00#	01:13#	01:18#